,names,prices,categories,tag
0,Chewy Caramel Alpenliebe 6.5G ,34.99,Confectionery and Snacks,Candy
1,Milk Chewy Caramel Alpenliebe 6.5G,34.99,Candy & bubble Gum,Alpenliebe
2,Seasoning Powder Jollof Maggi 8G,52.99,"Condiments, Oils & Spices",Seasoning
3,Seasoning Powder Chicken Maggi 10G,52.99,"Condiments, Oils & Spices",Seasoning
4,Chocolate Slab Milk Dune 5G,54.99,Chocolate,Chocolate
5,Haansbro 39G Malt & Milk,59.99,Biscuits & Cookies,Biscuits
6,Mcvities 16G Crackers,59.99,Biscuits & Cookies,Crackers
7,Mcvities 17.5G Tea  ,59.99,Biscuits & Cookies,Biscuits
8,Water Still Bigi 750Ml,64.99,Water,Water
9,Biscuits Nice Coconut Haansbro 57G,64.99,Biscuits & Cookies,Biscuit
10,Biscuits Noreos Choc Hansbro 30G,64.99,Biscuits & Cookies,Biscuit
11,Biscuits Power Up 50G,64.99,Biscuits & Cookies,Biscuit
12,Crispy Nutzy Peanut 50G ,69.99,Confectionery and Snacks,Snack
13,Chocolate Cowbell 20G,69.99,Hot Drinks and UHT Milk,Beverage
14,Biscuits Digestive Oxford 30G,69.99,Biscuits & Cookies,Biscuit
15,Snack Peanut Crispy Nutzy 50G,69.99,Savoury,Nutzy
16,Milk Powder Avantage Kerrygold 12G Sachet,69.99,Milk,Milk Powder
17,Tomato Paste Reg Chain Mix Vitali 70G,74.99,Canned Foods,Tomato Paste
18,Water Still Aquafina 750ML Bottle,79.99,Water,Water
19,Active Go Milo 20G,79.99,HotCoco,Milo
20,Tomato Paste Pepper Vitapepe 70G Sachet,79.99,Canned Foods,Tomato Paste
21,Water Still Aquafina 500Ml Bottle,79.99,Water,Water
22,"Yoghurt Drink Hollandia 90Ml, Plain",84.99,Yoghurt,Hollandia
23,"Yoghurt Drink Hollandia 90Ml, Strawberry",84.99,Yoghurt,Yoghurt
24,Water (0.75L) Eva 750Ml Bottle,89.99,Carbonated Juices,carbonated drinks
25,Bournvita Cadbury 20G Sachet,89.99,Hot Drinks and UHT Milk,Beverage
27,Water Still Aquafina 750Ml Bottle,89.99,Water,Water
